agreement,analytic_2d_lower,analytic_2d_supportable,analytic_2d_upper,atom_count,candidate_origin,case_id,certificate_bytes,checker_kernel_ms,checker_kernel_status,checker_process_ms,checker_process_status,coefficient_sum_bits,deterministic_certificate,deterministic_trace,distinct_outcomes,family,feasible_decisions,frontier_outcomes,generated_claim,generated_polarity,generation_ms,ground_class,ground_pareto_efficient,ground_positive_supportable,ground_supportable,ground_truth_ms,max_coefficient_bits,oracle_calls,p,p1_boundary_correct,p1_process_ms,schema_valid,source,strict_margin,trust_level
True,0/1,True,13/44,0,epsilon_q42,assignment_p2_s2001_epsilon_q42,1577,0.674991,VERIFIED,78.065365,VERIFIED,0,True,True,120,assignment,120,6,nonnegative_weight_supportable,supportable,1.027389,S+,True,True,True,0.318187,0,2,2,True,77.18769,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,assignment_p2_s2001_hash_control,1419,0.498817,VERIFIED,77.559076,VERIFIED,1,True,True,120,assignment,120,6,nonnegative_weight_unsupported,unsupported,0.787811,DOM,False,False,False,0.255262,1,1,2,True,77.26091,True,random,34/1,P1_FULLY_CHECKABLE
True,,False,,2,epsilon_q42,assignment_p2_s2002_epsilon_q42,1602,0.532948,VERIFIED,72.83231,VERIFIED,8,True,True,120,assignment,120,8,nonnegative_weight_unsupported,unsupported,1.32139,UNS,True,False,False,0.307191,7,2,2,True,73.409044,True,random,921/163,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,assignment_p2_s2002_hash_control,1419,0.495332,VERIFIED,74.003735,VERIFIED,1,True,True,120,assignment,120,8,nonnegative_weight_unsupported,unsupported,0.715852,DOM,False,False,False,0.245939,1,1,2,True,71.546824,True,random,83/1,P1_FULLY_CHECKABLE
True,0/1,True,71/92,0,epsilon_q42,assignment_p2_s2003_epsilon_q42,1568,0.658947,VERIFIED,75.253453,VERIFIED,0,True,True,120,assignment,120,2,positive_weight_supportable,supportable,0.570124,S+,True,True,True,0.122573,0,1,2,True,77.244941,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,assignment_p2_s2003_hash_control,1421,0.577365,VERIFIED,89.123392,VERIFIED,1,True,True,120,assignment,120,2,nonnegative_weight_unsupported,unsupported,0.803404,DOM,False,False,False,0.133861,1,1,2,True,75.038436,True,random,123/1,P1_FULLY_CHECKABLE
True,12/19,True,17/25,0,epsilon_q42,assignment_p2_s2004_epsilon_q42,1582,0.638827,VERIFIED,76.776695,VERIFIED,0,True,True,119,assignment,120,5,positive_weight_supportable,supportable,2.205965,S+,True,True,True,0.235233,0,4,2,True,78.79239,True,random,,P1_FULLY_CHECKABLE
True,,False,,2,hash_control,assignment_p2_s2004_hash_control,1603,0.557044,VERIFIED,77.923483,VERIFIED,7,True,True,119,assignment,120,5,nonnegative_weight_unsupported,unsupported,1.444885,DOM,False,False,False,0.201572,7,2,2,True,79.858051,True,random,3656/93,P1_FULLY_CHECKABLE
True,5/108,True,95/153,0,epsilon_q42,assignment_p2_s2005_epsilon_q42,1569,0.729322,VERIFIED,74.412081,VERIFIED,0,True,True,120,assignment,120,6,positive_weight_supportable,supportable,0.549533,S+,True,True,True,0.306199,0,1,2,True,77.772997,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,assignment_p2_s2005_hash_control,1419,0.530675,VERIFIED,75.998364,VERIFIED,1,True,True,120,assignment,120,6,nonnegative_weight_unsupported,unsupported,0.764535,DOM,False,False,False,0.288622,1,1,2,True,77.165543,True,random,17/1,P1_FULLY_CHECKABLE
