source_case,mutation,resealed,rejected,error_code
assignment_p2_s2001_hash_control,atom_outcome,True,True,OUTCOME_MISMATCH
assignment_p2_s2002_epsilon_q42,coordinate_sum,True,True,NEGATIVE_COORDINATE_SUM
assignment_p2_s2002_hash_control,coefficient_sum,True,True,NEGATIVE_COEFFICIENT_SUM
assignment_p2_s2003_hash_control,decision_digest,True,True,DECISION_DIGEST_MISMATCH
assignment_p2_s2004_hash_control,instance_digest,True,True,INSTANCE_DIGEST_MISMATCH
assignment_p2_s2005_hash_control,strict_margin,True,True,NEGATIVE_MARGIN
assignment_p3_s2001_hash_control,candidate_outcome,True,True,OUTCOME_MISMATCH
assignment_p3_s2002_hash_control,problem_type,True,True,PROBLEM_TYPE_MISMATCH
assignment_p3_s2003_hash_control,atom_outcome,True,True,OUTCOME_MISMATCH
assignment_p3_s2004_hash_control,coordinate_sum,True,True,NEGATIVE_COORDINATE_SUM
assignment_p3_s2005_hash_control,coefficient_sum,True,True,NEGATIVE_COEFFICIENT_SUM
assignment_p4_s2002_epsilon_q42,decision_digest,True,True,DECISION_DIGEST_MISMATCH
assignment_p2_s2001_epsilon_q42,candidate_digest,True,True,DECISION_DIGEST_MISMATCH
assignment_p2_s2003_epsilon_q42,candidate_outcome,True,True,OUTCOME_MISMATCH
assignment_p2_s2004_epsilon_q42,problem_type,True,True,PROBLEM_TYPE_MISMATCH
assignment_p2_s2005_epsilon_q42,oracle_minimum,True,True,ASSIGNMENT_MINIMUM
assignment_p3_s2001_epsilon_q42,weight_floor,True,True,POSITIVE_WEIGHT_FLOOR
assignment_p3_s2002_epsilon_q42,candidate_scalar,True,True,POSITIVE_CANDIDATE_VALUE
assignment_p3_s2003_epsilon_q42,scalar_minimum,True,True,POSITIVE_SCALAR_MINIMUM
assignment_p3_s2004_epsilon_q42,instance_digest,True,True,INSTANCE_DIGEST_MISMATCH
assignment_p3_s2005_epsilon_q42,candidate_digest,True,True,DECISION_DIGEST_MISMATCH
assignment_p4_s2001_epsilon_q42,candidate_outcome,True,True,OUTCOME_MISMATCH
assignment_p4_s2001_hash_control,problem_type,True,True,PROBLEM_TYPE_MISMATCH
assignment_p4_s2003_epsilon_q42,oracle_minimum,True,True,ASSIGNMENT_MINIMUM
